Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2022-12-02,Serbia,Switzerland,2,3,A,FIFA World Cup,2022,FIFA World Cup
2022-12-03,Argentina,Australia,2,1,H,FIFA World Cup,2022,FIFA World Cup
2022-11-30,Australia,Denmark,1,0,H,FIFA World Cup,2022,FIFA World Cup
2022-11-24,Brazil,Serbia,2,0,H,FIFA World Cup,2022,FIFA World Cup
2022-11-26,Tunisia,Australia,0,1,A,FIFA World Cup,2022,FIFA World Cup
2022-11-29,Ecuador,Senegal,1,2,A,FIFA World Cup,2022,FIFA World Cup
2022-12-09,Netherlands,Argentina,2,2,D,FIFA World Cup,2022,FIFA World Cup
2022-11-24,Uruguay,South Korea,0,0,D,FIFA World Cup,2022,FIFA World Cup
2022-12-10,Morocco,Portugal,1,0,H,FIFA World Cup,2022,FIFA World Cup
2022-12-18,Argentina,France,3,3,D,FIFA World Cup,2022,FIFA World Cup
2022-11-30,Saudi Arabia,Mexico,1,2,A,FIFA World Cup,2022,FIFA World Cup
2022-11-30,Poland,Argentina,0,2,A,FIFA World Cup,2022,FIFA World Cup
2022-11-26,France,Denmark,2,1,H,FIFA World Cup,2022,FIFA World Cup
2022-11-26,Argentina,Mexico,2,0,H,FIFA World Cup,2022,FIFA World Cup
2022-11-28,Brazil,Switzerland,1,0,H,FIFA World Cup,2022,FIFA World Cup
2022-11-29,Netherlands,Qatar,2,0,H,FIFA World Cup,2022,FIFA World Cup
2022-12-06,Portugal,Switzerland,6,1,H,FIFA World Cup,2022,FIFA World Cup
2022-12-04,England,Senegal,3,0,H,FIFA World Cup,2022,FIFA World Cup
2022-12-17,Croatia,Morocco,2,1,H,FIFA World Cup,2022,FIFA World Cup
2022-12-13,Argentina,Croatia,3,0,H,FIFA World Cup,2022,FIFA World Cup
2022-12-10,England,France,1,2,A,FIFA World Cup,2022,FIFA World Cup
2022-12-14,France,Morocco,2,0,H,FIFA World Cup,2022,FIFA World Cup
2022-12-09,Croatia,Brazil,1,1,D,FIFA World Cup,2022,FIFA World Cup
2022-12-06,Morocco,Spain,0,0,D,FIFA World Cup,2022,FIFA World Cup
2022-12-05,Japan,Croatia,1,1,D,FIFA World Cup,2022,FIFA World Cup
2022-12-05,Brazil,South Korea,4,1,H,FIFA World Cup,2022,FIFA World Cup
2022-12-04,France,Poland,3,1,H,FIFA World Cup,2022,FIFA World Cup
2022-12-03,Netherlands,United States,3,1,H,FIFA World Cup,2022,FIFA World Cup
2022-11-28,Portugal,Uruguay,2,0,H,FIFA World Cup,2022,FIFA World Cup
2022-11-27,Spain,Germany,1,1,D,FIFA World Cup,2022,FIFA World Cup
2022-11-28,Cameroon,Serbia,3,3,D,FIFA World Cup,2022,FIFA World Cup
2022-11-27,Japan,Costa Rica,0,1,A,FIFA World Cup,2022,FIFA World Cup
2022-11-27,Belgium,Morocco,0,2,A,FIFA World Cup,2022,FIFA World Cup
2022-11-23,Germany,Japan,1,2,A,FIFA World Cup,2022,FIFA World Cup
2022-11-21,United States,Wales,1,1,D,FIFA World Cup,2022,FIFA World Cup
2022-11-20,Qatar,Ecuador,0,2,A,FIFA World Cup,2022,FIFA World Cup
2022-11-25,Qatar,Senegal,1,3,A,FIFA World Cup,2022,FIFA World Cup
2022-11-22,Argentina,Saudi Arabia,1,2,A,FIFA World Cup,2022,FIFA World Cup
2022-11-28,South Korea,Ghana,2,3,A,FIFA World Cup,2022,FIFA World Cup
2022-11-24,Portugal,Ghana,3,2,H,FIFA World Cup,2022,FIFA World Cup
2022-11-26,Poland,Saudi Arabia,2,0,H,FIFA World Cup,2022,FIFA World Cup
2022-12-01,Croatia,Belgium,0,0,D,FIFA World Cup,2022,FIFA World Cup
2022-12-02,Ghana,Uruguay,0,2,A,FIFA World Cup,2022,FIFA World Cup
2022-12-01,Costa Rica,Germany,2,4,A,FIFA World Cup,2022,FIFA World Cup
2022-11-23,Spain,Costa Rica,7,0,H,FIFA World Cup,2022,FIFA World Cup
2022-11-24,Switzerland,Cameroon,1,0,H,FIFA World Cup,2022,FIFA World Cup
2022-11-21,Senegal,Netherlands,0,2,A,FIFA World Cup,2022,FIFA World Cup
2022-11-27,Croatia,Canada,4,1,H,FIFA World Cup,2022,FIFA World Cup
2022-12-02,Cameroon,Brazil,1,0,H,FIFA World Cup,2022,FIFA World Cup
2022-11-22,France,Australia,4,1,H,FIFA World Cup,2022,FIFA World Cup
2022-11-29,Iran,United States,0,1,A,FIFA World Cup,2022,FIFA World Cup
